BatchNo,Temperature
2019-08-23,111.14814814809999
2019-08-23,110.0357142857
2019-08-23,109.4074074074
2019-08-23,107.6666666667
2019-08-23,103.70370370370001
2019-08-23,108.037037037
2019-08-23,108.9642857143
2019-08-23,104.70370370370001
2019-08-23,109.37037037040001
2019-08-23,111.8888888889
2019-08-23,111.5
2019-08-23,101.4814814815
2019-08-23,96.17857142860001
2019-08-23,91.5555555556
2019-08-23,90.14285714290001
2019-08-23,103.25
2019-08-23,93.9642857143
2019-08-23,113.5185185185
2019-08-23,96.9259259259
2019-08-23,108.77777777780001
2019-08-23,109.10714285709999
2019-08-23,110.25925925930001
2019-08-23,109.3333333333
2019-08-23,106.25
2019-08-23,103.62962962959999
2019-08-23,107.6470588235
2019-08-23,100.57142857139999
2019-08-23,113.70370370370001
2019-08-23,114.9259259259
2019-08-23,108.17857142860001
2019-08-23,105.1153846154
2019-08-23,100.5555555556
2019-08-23,99.29629629629999
2019-08-23,109.0
2019-08-23,102.82142857139999
2019-08-23,97.0
